Month,Age Range,Classification,Category,Percentage %
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.2
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.0
Feb-17,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,40.6
Feb-17,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,10.0
Feb-17,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,3.9
Feb-17,People aged 15 - 24 years,Age of youngest child in household,   5 years,0.5
Feb-17,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,8.1
Feb-17,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,18.1
Feb-17,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,59.4
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,6.2
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.2
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.5
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",0.3
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,0.6
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.2
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.4
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,25.9
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,2.8
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,5.2
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,10.7
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,2.8
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.7
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.3
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,3.3
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,60.8
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,1.9
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,48.9
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,10.0
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,6.5
Feb-17,People aged 25 - 39 years,Reason did not actively look for work,Did not know,0.6
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.5
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",20.8
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.3
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,11.3
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,11.5
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.4
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.2
Feb-17,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,2.0
Feb-17,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,74.6
Feb-17,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,34.9
Feb-17,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,20.8
Feb-17,People aged 25 - 39 years,Age of youngest child in household,   5 years,6.8
Feb-17,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,10.1
Feb-17,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,2.0
Feb-17,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,25.4
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,8.5
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,0.4
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.4
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.7
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.3
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",2.1
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,1.5
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,36.8
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,3.6
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,15.1
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,8.6
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,5.5
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.4
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.0
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,3.6
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,43.7
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,9.8
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,22.0
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,12.0
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,10.4
Feb-17,People aged 40 - 54 years,Reason did not actively look for work,Did not know,0.6
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.8
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",8.2
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.3
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,9.0
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.0
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-17,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.7
Feb-17,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,56.7
Feb-17,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,6.6
Feb-17,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,6.6
Feb-17,People aged 40 - 54 years,Age of youngest child in household,   5 years,4.5
Feb-17,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,20.8
Feb-17,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,18.2
Feb-17,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,43.3
Feb-17,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,25.1
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,15.5
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.8
Feb-17,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.9
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,1.1
Feb-17,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.7
Feb-17,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,1.3
Feb-17,People aged 55 years and over,Reason did not actively look for work,Personal reasons,42.0
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,4.3
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,16.2
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.6
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,14.4
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,2.8
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,2.3
Feb-17,People aged 55 years and over,Reason did not actively look for work,Family reasons,12.9
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.4
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Childcare,2.5
Feb-17,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,4.0
Feb-17,People aged 55 years and over,Reason did not actively look for work,Other reasons,16.0
Feb-17,People aged 55 years and over,Reason did not actively look for work,Did not know,4.0
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.4
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.4
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,0.1
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.5
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-17,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,1.1
Feb-17,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,5.7
Feb-17,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.3
Feb-17,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,1.0
Feb-17,People aged 55 years and over,Age of youngest child in household,   5 years,0.7
Feb-17,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,1.2
Feb-17,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,2.5
Feb-17,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,94.3
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,4.8
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.2
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.3
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.9
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.4
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",0.9
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,1.0
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,74.7
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,1.7
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,4.7
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,61.4
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,1.6
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.6
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,1.7
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,3.0
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,8.2
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,0.9
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,5.9
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,1.4
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,8.9
Feb-18,People aged 15 - 24 years,Reason did not actively look for work,Did not know,3.4
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",2.8
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,1.7
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,1.2
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-18,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.2
Feb-18,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,39.7
Feb-18,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,10.8
Feb-18,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,3.5
Feb-18,People aged 15 - 24 years,Age of youngest child in household,   5 years,1.5
Feb-18,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,5.4
Feb-18,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,18.4
Feb-18,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,60.3
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,6.0
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.1
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.7
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",0.6
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,1.0
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",2.3
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.2
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,27.4
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,2.6
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,6.0
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,14.1
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,1.8
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.3
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,2.0
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,57.8
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,4.4
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,45.8
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,7.6
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,6.7
Feb-18,People aged 25 - 39 years,Reason did not actively look for work,Did not know,2.1
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,2.2
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",22.8
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.6
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,6.6
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,8.4
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.0
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.2
Feb-18,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,3.0
Feb-18,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,72.4
Feb-18,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,42.8
Feb-18,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,13.8
Feb-18,People aged 25 - 39 years,Age of youngest child in household,   5 years,6.4
Feb-18,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,7.8
Feb-18,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,1.6
Feb-18,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,27.6
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,13.7
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,2.2
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.1
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.3
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,2.7
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.0
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,2.5
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,36.1
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,4.3
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,13.1
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,8.9
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,5.4
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.3
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.3
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,3.8
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,38.4
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,8.1
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,20.4
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,9.9
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,9.2
Feb-18,People aged 40 - 54 years,Reason did not actively look for work,Did not know,2.6
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.7
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",5.6
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.4
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,1.4
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,8.0
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.3
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-18,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,3.1
Feb-18,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,54.9
Feb-18,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,8.4
Feb-18,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,5.9
Feb-18,People aged 40 - 54 years,Age of youngest child in household,   5 years,5.6
Feb-18,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,17.5
Feb-18,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,17.5
Feb-18,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,45.2
Feb-18,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,25.5
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,14.9
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,2.3
Feb-18,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.2
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,1.9
Feb-18,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.4
Feb-18,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,0.9
Feb-18,People aged 55 years and over,Reason did not actively look for work,Personal reasons,44.5
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,5.5
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,14.1
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.6
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,18.3
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.5
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.2
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,1.4
Feb-18,People aged 55 years and over,Reason did not actively look for work,Family reasons,12.2
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,7.5
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Childcare,1.2
Feb-18,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,3.6
Feb-18,People aged 55 years and over,Reason did not actively look for work,Other reasons,14.0
Feb-18,People aged 55 years and over,Reason did not actively look for work,Did not know,3.7
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.0
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.0
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,0.5
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.2
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-18,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.5
Feb-18,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,6.4
Feb-18,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,2.1
Feb-18,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.7
Feb-18,People aged 55 years and over,Age of youngest child in household,   5 years,0.3
Feb-18,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,1.2
Feb-18,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,2.1
Feb-18,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,93.6
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,4.7
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.5
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.6
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.6
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.2
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,0.8
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,75.7
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,2.0
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,5.1
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,60.2
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,4.1
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.1
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,1.6
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,2.6
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,8.1
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,0.8
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,6.2
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,1.1
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,8.0
Feb-19,People aged 15 - 24 years,Reason did not actively look for work,Did not know,3.5
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.3
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",3.2
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.3
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,1.1
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,1.3
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-19,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.1
Feb-19,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,41.9
Feb-19,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,8.4
Feb-19,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,3.5
Feb-19,People aged 15 - 24 years,Age of youngest child in household,   5 years,0.8
Feb-19,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,8.2
Feb-19,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,21.1
Feb-19,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,58.1
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,5.2
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.6
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.3
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,0.1
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",2.1
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.0
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,30.1
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,3.1
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,6.2
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,14.4
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,2.0
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.1
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,3.8
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,55.7
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,4.2
